t [yr], r [pc]
1.00, 0.01
1.28, 0.02
1.56, 0.02
1.84, 0.02
2.12, 0.03
2.40, 0.03
2.68, 0.03
2.96, 0.04
3.24, 0.04
3.51, 0.04
3.79, 0.05
4.07, 0.05
4.35, 0.05
4.63, 0.06
4.91, 0.06
5.19, 0.06
5.47, 0.07
5.75, 0.07
6.03, 0.07
6.31, 0.08
6.59, 0.08
6.87, 0.08
7.15, 0.09
7.43, 0.09
7.71, 0.09
7.98, 0.10
8.26, 0.10
8.54, 0.11
8.82, 0.11
9.10, 0.11
9.38, 0.12
9.66, 0.12
9.94, 0.12
10.22, 0.13
10.50, 0.13
10.78, 0.13
11.06, 0.14
11.34, 0.14
11.62, 0.14
11.90, 0.15
12.18, 0.15
12.45, 0.15
12.73, 0.16
13.01, 0.16
13.29, 0.16
13.57, 0.17
13.85, 0.17
14.13, 0.17
14.41, 0.18
14.69, 0.18
14.97, 0.18
15.25, 0.19
15.53, 0.19
15.81, 0.19
16.09, 0.20
16.37, 0.20
16.65, 0.20
16.92, 0.21
17.20, 0.21
17.48, 0.21
17.76, 0.22
18.04, 0.22
18.32, 0.22
18.60, 0.23
18.88, 0.23
19.16, 0.23
19.44, 0.24
19.72, 0.24
20.00, 0.24
20.28, 0.25
20.56, 0.25
20.84, 0.25
21.12, 0.26
21.39, 0.26
21.67, 0.26
21.95, 0.27
22.23, 0.27
22.51, 0.27
22.79, 0.28
23.07, 0.28
23.35, 0.28
23.63, 0.29
23.91, 0.29
24.19, 0.29
24.47, 0.30
24.75, 0.30
25.03, 0.31
25.31, 0.31
25.59, 0.31
25.86, 0.32
26.14, 0.32
26.42, 0.32
26.70, 0.33
26.98, 0.33
27.26, 0.33
27.54, 0.34
27.82, 0.34
28.10, 0.34
28.38, 0.35
28.66, 0.35
28.94, 0.35
29.22, 0.36
29.50, 0.36
29.78, 0.36
30.06, 0.37
30.33, 0.37
30.61, 0.37
30.89, 0.38
31.17, 0.38
31.45, 0.38
31.73, 0.39
32.01, 0.39
32.29, 0.39
32.57, 0.39
32.85, 0.40
33.13, 0.40
33.41, 0.40
33.69, 0.41
33.97, 0.41
34.25, 0.41
34.53, 0.42
34.80, 0.42
35.08, 0.42
35.36, 0.43
35.64, 0.43
35.92, 0.43
36.20, 0.44
36.48, 0.44
36.76, 0.44
37.04, 0.45
37.32, 0.45
37.60, 0.45
37.88, 0.46
38.16, 0.46
38.44, 0.46
38.72, 0.47
39.00, 0.47
39.27, 0.47
39.55, 0.48
39.83, 0.48
40.11, 0.48
40.39, 0.49
40.67, 0.49
40.95, 0.49
41.23, 0.50
41.51, 0.50
41.79, 0.50
42.07, 0.51
42.35, 0.51
42.63, 0.51
42.91, 0.52
43.19, 0.52
43.47, 0.52
43.74, 0.53
44.02, 0.53
44.30, 0.53
44.58, 0.54
44.86, 0.54
45.14, 0.54
45.42, 0.55
45.70, 0.55
45.98, 0.55
46.26, 0.56
46.54, 0.56
46.82, 0.56
47.10, 0.56
47.38, 0.57
47.66, 0.57
47.94, 0.57
48.21, 0.58
48.49, 0.58
48.77, 0.58
49.05, 0.59
49.33, 0.59
49.61, 0.59
49.89, 0.60
50.17, 0.60
50.45, 0.60
50.73, 0.61
51.01, 0.61
51.29, 0.61
51.57, 0.62
51.85, 0.62
52.13, 0.62
52.41, 0.63
52.69, 0.63
52.96, 0.63
53.24, 0.64
53.52, 0.64
53.80, 0.64
54.08, 0.64
54.36, 0.65
54.64, 0.65
54.92, 0.65
55.20, 0.66
55.48, 0.66
55.76, 0.66
56.04, 0.67
56.32, 0.67
56.60, 0.67
56.88, 0.68
57.16, 0.68
57.43, 0.68
57.71, 0.69
57.99, 0.69
58.27, 0.69
58.55, 0.70
58.83, 0.70
59.11, 0.70
59.39, 0.70
59.67, 0.71
59.95, 0.71
60.23, 0.71
60.51, 0.72
60.79, 0.72
61.07, 0.72
61.35, 0.73
61.63, 0.73
61.90, 0.73
62.18, 0.74
62.46, 0.74
62.74, 0.74
63.02, 0.74
63.30, 0.75
63.58, 0.75
63.86, 0.75
64.14, 0.76
64.42, 0.76
64.70, 0.76
64.98, 0.77
65.26, 0.77
65.54, 0.77
65.82, 0.78
66.10, 0.78
66.37, 0.78
66.65, 0.79
66.93, 0.79
67.21, 0.79
67.49, 0.79
67.77, 0.80
68.05, 0.80
68.33, 0.80
68.61, 0.81
68.89, 0.81
69.17, 0.81
69.45, 0.82
69.73, 0.82
70.01, 0.82
70.29, 0.82
70.57, 0.83
70.84, 0.83
71.12, 0.83
71.40, 0.84
71.68, 0.84
71.96, 0.84
72.24, 0.85
72.52, 0.85
72.80, 0.85
73.08, 0.86
73.36, 0.86
73.64, 0.86
73.92, 0.86
74.20, 0.87
74.48, 0.87
74.76, 0.87
75.04, 0.88
75.31, 0.88
75.59, 0.88
75.87, 0.89
76.15, 0.89
76.43, 0.89
76.71, 0.89
76.99, 0.90
77.27, 0.90
77.55, 0.90
77.83, 0.91
78.11, 0.91
78.39, 0.91
78.67, 0.92
78.95, 0.92
79.23, 0.92
79.51, 0.92
79.78, 0.93
80.06, 0.93
80.34, 0.93
80.62, 0.94
80.90, 0.94
81.18, 0.94
81.46, 0.95
81.74, 0.95
82.02, 0.95
82.30, 0.95
82.58, 0.96
82.86, 0.96
83.14, 0.96
83.42, 0.97
83.70, 0.97
83.98, 0.97
84.25, 0.97
84.53, 0.98
84.81, 0.98
85.09, 0.98
85.37, 0.99
85.65, 0.99
85.93, 0.99
86.21, 1.00
86.49, 1.00
86.77, 1.00
87.05, 1.00
87.33, 1.01
87.61, 1.01
87.89, 1.01
88.17, 1.02
88.45, 1.02
88.72, 1.02
89.00, 1.02
89.28, 1.03
89.56, 1.03
89.84, 1.03
90.12, 1.04
90.40, 1.04
90.68, 1.04
90.96, 1.04
91.24, 1.05
91.52, 1.05
91.80, 1.05
92.08, 1.06
92.36, 1.06
92.64, 1.06
92.92, 1.06
93.19, 1.07
93.47, 1.07
93.75, 1.07
94.03, 1.08
94.31, 1.08
94.59, 1.08
94.87, 1.08
95.15, 1.09
95.43, 1.09
95.71, 1.09
95.99, 1.10
96.27, 1.10
96.55, 1.10
96.83, 1.10
97.11, 1.11
97.39, 1.11
97.66, 1.11
97.94, 1.12
98.22, 1.12
98.50, 1.12
98.78, 1.12
99.06, 1.13
99.34, 1.13
99.62, 1.13
99.90, 1.14
100.18, 1.14
100.46, 1.14
100.74, 1.14
101.02, 1.15
101.30, 1.15
101.58, 1.15
101.86, 1.16
102.14, 1.16
102.41, 1.16
102.69, 1.16
102.97, 1.17
103.25, 1.17
103.53, 1.17
103.81, 1.18
104.09, 1.18
104.37, 1.18
104.65, 1.18
104.93, 1.19
105.21, 1.19
105.49, 1.19
105.77, 1.19
106.05, 1.20
106.33, 1.20
106.61, 1.20
106.88, 1.21
107.16, 1.21
107.44, 1.21
107.72, 1.21
108.00, 1.22
108.28, 1.22
108.56, 1.22
108.84, 1.22
109.12, 1.23
109.40, 1.23
109.68, 1.23
109.96, 1.24
110.24, 1.24
110.52, 1.24
110.80, 1.24
111.08, 1.25
111.35, 1.25
111.63, 1.25
111.91, 1.26
112.19, 1.26
112.47, 1.26
112.75, 1.26
113.03, 1.27
113.31, 1.27
113.59, 1.27
113.87, 1.27
114.15, 1.28
114.43, 1.28
114.71, 1.28
114.99, 1.28
115.27, 1.29
115.55, 1.29
115.82, 1.29
116.10, 1.30
116.38, 1.30
116.66, 1.30
116.94, 1.30
117.22, 1.31
117.50, 1.31
117.78, 1.31
118.06, 1.31
118.34, 1.32
118.62, 1.32
118.90, 1.32
119.18, 1.33
119.46, 1.33
119.74, 1.33
120.02, 1.33
120.29, 1.34
120.57, 1.34
120.85, 1.34
121.13, 1.34
121.41, 1.35
121.69, 1.35
121.97, 1.35
122.25, 1.35
122.53, 1.36
122.81, 1.36
123.09, 1.36
123.37, 1.36
123.65, 1.37
123.93, 1.37
124.21, 1.37
124.49, 1.38
124.76, 1.38
125.04, 1.38
125.32, 1.38
125.60, 1.39
125.88, 1.39
126.16, 1.39
126.44, 1.39
126.72, 1.40
127.00, 1.40
127.28, 1.40
127.56, 1.40
127.84, 1.41
128.12, 1.41
128.40, 1.41
128.68, 1.41
128.96, 1.42
129.23, 1.42
129.51, 1.42
129.79, 1.42
130.07, 1.43
130.35, 1.43
130.63, 1.43
130.91, 1.43
131.19, 1.44
131.47, 1.44
131.75, 1.44
132.03, 1.45
132.31, 1.45
132.59, 1.45
132.87, 1.45
133.15, 1.46
133.43, 1.46
133.70, 1.46
133.98, 1.46
134.26, 1.47
134.54, 1.47
134.82, 1.47
135.10, 1.47
135.38, 1.48
135.66, 1.48
135.94, 1.48
136.22, 1.48
136.50, 1.49
136.78, 1.49
137.06, 1.49
137.34, 1.49
137.62, 1.50
137.90, 1.50
138.17, 1.50
138.45, 1.50
138.73, 1.51
139.01, 1.51
139.29, 1.51
139.57, 1.51
139.85, 1.52
140.13, 1.52
140.41, 1.52
140.69, 1.52
140.97, 1.53
141.25, 1.53
141.53, 1.53
141.81, 1.53
142.09, 1.54
142.37, 1.54
142.64, 1.54
142.92, 1.54
143.20, 1.55
143.48, 1.55
143.76, 1.55
144.04, 1.55
144.32, 1.56
144.60, 1.56
144.88, 1.56
145.16, 1.56
145.44, 1.57
145.72, 1.57
146.00, 1.57
146.28, 1.57
146.56, 1.58
146.84, 1.58
147.11, 1.58
147.39, 1.58
147.67, 1.59
147.95, 1.59
148.23, 1.59
148.51, 1.59
148.79, 1.59
149.07, 1.60
149.35, 1.60
149.63, 1.60
149.91, 1.60
150.19, 1.61
150.47, 1.61
150.75, 1.61
151.03, 1.61
151.31, 1.62
151.58, 1.62
151.86, 1.62
152.14, 1.62
152.42, 1.63
152.70, 1.63
152.98, 1.63
153.26, 1.63
153.54, 1.64
153.82, 1.64
154.10, 1.64
154.38, 1.64
154.66, 1.65
154.94, 1.65
155.22, 1.65
155.50, 1.65
155.78, 1.66
156.06, 1.66
156.33, 1.66
156.61, 1.66
156.89, 1.66
157.17, 1.67
157.45, 1.67
157.73, 1.67
158.01, 1.67
158.29, 1.68
158.57, 1.68
158.85, 1.68
159.13, 1.68
159.41, 1.69
159.69, 1.69
159.97, 1.69
160.25, 1.69
160.53, 1.70
160.80, 1.70
161.08, 1.70
161.36, 1.70
161.64, 1.70
161.92, 1.71
162.20, 1.71
162.48, 1.71
162.76, 1.71
163.04, 1.72
163.32, 1.72
163.60, 1.72
163.88, 1.72
164.16, 1.73
164.44, 1.73
164.72, 1.73
165.00, 1.73
165.27, 1.73
165.55, 1.74
165.83, 1.74
166.11, 1.74
166.39, 1.74
166.67, 1.75
166.95, 1.75
167.23, 1.75
167.51, 1.75
167.79, 1.76
168.07, 1.76
168.35, 1.76
168.63, 1.76
168.91, 1.76
169.19, 1.77
169.47, 1.77
169.74, 1.77
170.02, 1.77
170.30, 1.78
170.58, 1.78
170.86, 1.78
171.14, 1.78
171.42, 1.78
171.70, 1.79
171.98, 1.79
172.26, 1.79
172.54, 1.79
172.82, 1.80
173.10, 1.80
173.38, 1.80
173.66, 1.80
173.94, 1.81
174.21, 1.81
174.49, 1.81
174.77, 1.81
175.05, 1.81
175.33, 1.82
175.61, 1.82
175.89, 1.82
176.17, 1.82
176.45, 1.83
176.73, 1.83
177.01, 1.83
177.29, 1.83
177.57, 1.83
177.85, 1.84
178.13, 1.84
178.41, 1.84
178.68, 1.84
178.96, 1.85
179.24, 1.85
179.52, 1.85
179.80, 1.85
180.08, 1.85
180.36, 1.86
180.64, 1.86
180.92, 1.86
181.20, 1.86
181.48, 1.87
181.76, 1.87
182.04, 1.87
182.32, 1.87
182.60, 1.87
182.88, 1.88
183.15, 1.88
183.43, 1.88
183.71, 1.88
183.99, 1.88
184.27, 1.89
184.55, 1.89
184.83, 1.89
185.11, 1.89
185.39, 1.90
185.67, 1.90
185.95, 1.90
186.23, 1.90
186.51, 1.90
186.79, 1.91
187.07, 1.91
187.35, 1.91
187.62, 1.91
187.90, 1.91
188.18, 1.92
188.46, 1.92
188.74, 1.92
189.02, 1.92
189.30, 1.93
189.58, 1.93
189.86, 1.93
190.14, 1.93
190.42, 1.93
190.70, 1.94
190.98, 1.94
191.26, 1.94
191.54, 1.94
191.82, 1.94
192.09, 1.95
192.37, 1.95
192.65, 1.95
192.93, 1.95
193.21, 1.96
193.49, 1.96
193.77, 1.96
194.05, 1.96
194.33, 1.96
194.61, 1.97
194.89, 1.97
195.17, 1.97
195.45, 1.97
195.73, 1.97
196.01, 1.98
196.29, 1.98
196.56, 1.98
196.84, 1.98
197.12, 1.98
197.40, 1.99
197.68, 1.99
197.96, 1.99
198.24, 1.99
198.52, 1.99
198.80, 2.00
199.08, 2.00
199.36, 2.00
199.64, 2.00
199.92, 2.01
200.20, 2.01
200.48, 2.01
200.76, 2.01
201.03, 2.01
201.31, 2.02
201.59, 2.02
201.87, 2.02
202.15, 2.02
202.43, 2.02
202.71, 2.03
202.99, 2.03
203.27, 2.03
203.55, 2.03
203.83, 2.03
204.11, 2.04
204.39, 2.04
204.67, 2.04
204.95, 2.04
205.23, 2.04
205.51, 2.05
205.78, 2.05
206.06, 2.05
206.34, 2.05
206.62, 2.05
206.90, 2.06
207.18, 2.06
207.46, 2.06
207.74, 2.06
208.02, 2.06
208.30, 2.07
208.58, 2.07
208.86, 2.07
209.14, 2.07
209.42, 2.07
209.70, 2.08
209.98, 2.08
210.25, 2.08
210.53, 2.08
210.81, 2.08
211.09, 2.09
211.37, 2.09
211.65, 2.09
211.93, 2.09
212.21, 2.09
212.49, 2.10
212.77, 2.10
213.05, 2.10
213.33, 2.10
213.61, 2.10
213.89, 2.11
214.17, 2.11
214.45, 2.11
214.72, 2.11
215.00, 2.11
215.28, 2.12
215.56, 2.12
215.84, 2.12
216.12, 2.12
216.40, 2.12
216.68, 2.13
216.96, 2.13
217.24, 2.13
217.52, 2.13
217.80, 2.13
218.08, 2.13
218.36, 2.14
218.64, 2.14
218.92, 2.14
219.19, 2.14
219.47, 2.14
219.75, 2.15
220.03, 2.15
220.31, 2.15
220.59, 2.15
220.87, 2.15
221.15, 2.16
221.43, 2.16
221.71, 2.16
221.99, 2.16
222.27, 2.16
222.55, 2.17
222.83, 2.17
223.11, 2.17
223.39, 2.17
223.66, 2.17
223.94, 2.18
224.22, 2.18
224.50, 2.18
224.78, 2.18
225.06, 2.18
225.34, 2.18
225.62, 2.19
225.90, 2.19
226.18, 2.19
226.46, 2.19
226.74, 2.19
227.02, 2.20
227.30, 2.20
227.58, 2.20
227.86, 2.20
228.13, 2.20
228.41, 2.21
228.69, 2.21
228.97, 2.21
229.25, 2.21
229.53, 2.21
229.81, 2.21
230.09, 2.22
230.37, 2.22
230.65, 2.22
230.93, 2.22
231.21, 2.22
231.49, 2.23
231.77, 2.23
232.05, 2.23
232.33, 2.23
232.60, 2.23
232.88, 2.24
233.16, 2.24
233.44, 2.24
233.72, 2.24
234.00, 2.24
234.28, 2.24
234.56, 2.25
234.84, 2.25
235.12, 2.25
235.40, 2.25
235.68, 2.25
235.96, 2.26
236.24, 2.26
236.52, 2.26
236.80, 2.26
237.07, 2.26
237.35, 2.26
237.63, 2.27
237.91, 2.27
238.19, 2.27
238.47, 2.27
238.75, 2.27
239.03, 2.28
239.31, 2.28
239.59, 2.28
239.87, 2.28
240.15, 2.28
240.43, 2.28
240.71, 2.29
240.99, 2.29
241.27, 2.29
241.54, 2.29
241.82, 2.29
242.10, 2.30
242.38, 2.30
242.66, 2.30
242.94, 2.30
243.22, 2.30
243.50, 2.30
243.78, 2.31
244.06, 2.31
244.34, 2.31
244.62, 2.31
244.90, 2.31
245.18, 2.31
245.46, 2.32
245.74, 2.32
246.01, 2.32
246.29, 2.32
246.57, 2.32
246.85, 2.33
247.13, 2.33
247.41, 2.33
247.69, 2.33
247.97, 2.33
248.25, 2.33
248.53, 2.34
248.81, 2.34
249.09, 2.34
249.37, 2.34
249.65, 2.34
249.93, 2.34
250.21, 2.35
250.48, 2.35
250.76, 2.35
251.04, 2.35
251.32, 2.35
251.60, 2.35
251.88, 2.36
252.16, 2.36
252.44, 2.36
252.72, 2.36
253.00, 2.36
253.28, 2.37
253.56, 2.37
253.84, 2.37
254.12, 2.37
254.40, 2.37
254.68, 2.37
254.96, 2.38
255.23, 2.38
255.51, 2.38
255.79, 2.38
256.07, 2.38
256.35, 2.38
256.63, 2.39
256.91, 2.39
257.19, 2.39
257.47, 2.39
257.75, 2.39
258.03, 2.39
258.31, 2.40
258.59, 2.40
258.87, 2.40
259.15, 2.40
259.43, 2.40
259.70, 2.40
259.98, 2.41
260.26, 2.41
260.54, 2.41
260.82, 2.41
261.10, 2.41
261.38, 2.41
261.66, 2.42
261.94, 2.42
262.22, 2.42
262.50, 2.42
262.78, 2.42
263.06, 2.42
263.34, 2.43
263.62, 2.43
263.90, 2.43
264.17, 2.43
264.45, 2.43
264.73, 2.43
265.01, 2.44
265.29, 2.44
265.57, 2.44
265.85, 2.44
266.13, 2.44
266.41, 2.44
266.69, 2.45
266.97, 2.45
267.25, 2.45
267.53, 2.45
267.81, 2.45
268.09, 2.45
268.37, 2.46
268.64, 2.46
268.92, 2.46
269.20, 2.46
269.48, 2.46
269.76, 2.46
270.04, 2.47
270.32, 2.47
270.60, 2.47
270.88, 2.47
271.16, 2.47
271.44, 2.47
271.72, 2.48
272.00, 2.48
272.28, 2.48
272.56, 2.48
272.84, 2.48
273.11, 2.48
273.39, 2.49
273.67, 2.49
273.95, 2.49
274.23, 2.49
274.51, 2.49
274.79, 2.49
275.07, 2.49
275.35, 2.50
275.63, 2.50
275.91, 2.50
276.19, 2.50
276.47, 2.50
276.75, 2.50
277.03, 2.51
277.31, 2.51
277.58, 2.51
277.86, 2.51
278.14, 2.51
278.42, 2.51
278.70, 2.52
278.98, 2.52
279.26, 2.52
279.54, 2.52
279.82, 2.52
280.10, 2.52
280.10, 2.52
293.13, 2.59
306.16, 2.66
319.20, 2.72
332.23, 2.79
345.26, 2.85
358.30, 2.91
371.33, 2.97
384.36, 3.02
397.40, 3.08
410.43, 3.13
423.46, 3.19
436.49, 3.24
449.53, 3.29
462.56, 3.33
475.59, 3.38
488.63, 3.43
501.66, 3.47
514.69, 3.52
527.72, 3.56
540.76, 3.61
553.79, 3.65
566.82, 3.69
579.86, 3.73
592.89, 3.77
605.92, 3.81
618.96, 3.85
631.99, 3.89
645.02, 3.93
658.05, 3.96
671.09, 4.00
684.12, 4.04
697.15, 4.07
710.19, 4.11
723.22, 4.14
736.25, 4.18
749.28, 4.21
762.32, 4.25
775.35, 4.28
788.38, 4.31
801.42, 4.35
814.45, 4.38
827.48, 4.41
840.52, 4.44
853.55, 4.47
866.58, 4.50
879.61, 4.53
892.65, 4.56
905.68, 4.59
918.71, 4.62
931.75, 4.65
944.78, 4.68
957.81, 4.71
970.84, 4.74
983.88, 4.77
996.91, 4.79
1009.94, 4.82
1022.98, 4.85
1036.01, 4.88
1049.04, 4.90
1062.08, 4.93
1075.11, 4.96
1088.14, 4.98
1101.17, 5.01
1114.21, 5.04
1127.24, 5.06
1140.27, 5.09
1153.31, 5.11
1166.34, 5.14
1179.37, 5.16
1192.40, 5.19
1205.44, 5.21
1218.47, 5.24
1231.50, 5.26
1244.54, 5.29
1257.57, 5.31
1270.60, 5.33
1283.63, 5.36
1296.67, 5.38
1309.70, 5.41
1322.73, 5.43
1335.77, 5.45
1348.80, 5.47
1361.83, 5.50
1374.87, 5.52
1387.90, 5.54
1400.93, 5.56
1413.96, 5.59
1427.00, 5.61
1440.03, 5.63
1453.06, 5.65
1466.10, 5.67
1479.13, 5.70
1492.16, 5.72
1505.19, 5.74
1518.23, 5.76
1531.26, 5.78
1544.29, 5.80
1557.33, 5.82
1570.36, 5.84
1583.39, 5.87
1596.43, 5.89
1609.46, 5.91
1622.49, 5.93
1635.52, 5.95
1648.56, 5.97
1661.59, 5.99
1674.62, 6.01
1687.66, 6.03
1700.69, 6.05
1713.72, 6.07
1726.75, 6.09
1739.79, 6.11
1752.82, 6.12
1765.85, 6.14
1778.89, 6.16
1791.92, 6.18
1804.95, 6.20
1817.99, 6.22
1831.02, 6.24
1844.05, 6.26
1857.08, 6.28
1870.12, 6.29
1883.15, 6.31
1896.18, 6.33
1909.22, 6.35
1922.25, 6.37
1935.28, 6.39
1948.31, 6.40
1961.35, 6.42
1974.38, 6.44
1987.41, 6.46
2000.45, 6.48
2013.48, 6.49
2026.51, 6.51
2039.55, 6.53
2052.58, 6.55
2065.61, 6.56
2078.64, 6.58
2091.68, 6.60
2104.71, 6.62
2117.74, 6.63
2130.78, 6.65
2143.81, 6.67
2156.84, 6.68
2169.87, 6.70
2182.91, 6.72
2195.94, 6.74
2208.97, 6.75
2222.01, 6.77
2235.04, 6.79
2248.07, 6.80
2261.11, 6.82
2274.14, 6.83
2287.17, 6.85
2300.20, 6.87
2313.24, 6.88
2326.27, 6.90
2339.30, 6.92
2352.34, 6.93
2365.37, 6.95
2378.40, 6.96
2391.43, 6.98
2404.47, 7.00
2417.50, 7.01
2430.53, 7.03
2443.57, 7.04
2456.60, 7.06
2469.63, 7.07
2482.66, 7.09
2495.70, 7.11
2508.73, 7.12
2521.76, 7.14
2534.80, 7.15
2547.83, 7.17
2560.86, 7.18
2573.90, 7.20
2586.93, 7.21
2599.96, 7.23
2612.99, 7.24
2626.03, 7.26
2639.06, 7.27
2652.09, 7.29
2665.13, 7.30
2678.16, 7.32
2691.19, 7.33
2704.22, 7.35
2717.26, 7.36
2730.29, 7.38
2743.32, 7.39
2756.36, 7.41
2769.39, 7.42
2782.42, 7.43
2795.46, 7.45
2808.49, 7.46
2821.52, 7.48
2834.55, 7.49
2847.59, 7.51
2860.62, 7.52
2873.65, 7.53
2886.69, 7.55
2899.72, 7.56
2912.75, 7.58
2925.78, 7.59
2938.82, 7.60
2951.85, 7.62
2964.88, 7.63
2977.92, 7.65
2990.95, 7.66
3003.98, 7.67
3017.02, 7.69
3030.05, 7.70
3043.08, 7.72
3056.11, 7.73
3069.15, 7.74
3082.18, 7.76
3095.21, 7.77
3108.25, 7.78
3121.28, 7.80
3134.31, 7.81
3147.34, 7.82
3160.38, 7.84
3173.41, 7.85
3186.44, 7.86
3199.48, 7.88
3212.51, 7.89
3225.54, 7.90
3238.58, 7.92
3251.61, 7.93
3264.64, 7.94
3277.67, 7.96
3290.71, 7.97
3303.74, 7.98
3316.77, 7.99
3329.81, 8.01
3342.84, 8.02
3355.87, 8.03
3368.90, 8.05
3381.94, 8.06
3394.97, 8.07
3408.00, 8.08
3421.04, 8.10
3434.07, 8.11
3447.10, 8.12
3460.13, 8.14
3473.17, 8.15
3486.20, 8.16
3499.23, 8.17
3512.27, 8.19
3525.30, 8.20
3538.33, 8.21
3551.37, 8.22
3564.40, 8.24
3577.43, 8.25
3590.46, 8.26
3603.50, 8.27
3616.53, 8.29
3629.56, 8.30
3642.60, 8.31
3655.63, 8.32
3668.66, 8.33
3681.69, 8.35
3694.73, 8.36
3707.76, 8.37
3720.79, 8.38
3733.83, 8.39
3746.86, 8.41
3759.89, 8.42
3772.93, 8.43
3785.96, 8.44
3798.99, 8.45
3812.02, 8.47
3825.06, 8.48
3838.09, 8.49
3851.12, 8.50
3864.16, 8.51
3877.19, 8.53
3890.22, 8.54
3903.25, 8.55
3916.29, 8.56
3929.32, 8.57
3942.35, 8.58
3955.39, 8.60
3968.42, 8.61
3981.45, 8.62
3994.49, 8.63
4007.52, 8.64
4020.55, 8.65
4033.58, 8.67
4046.62, 8.68
4059.65, 8.69
4072.68, 8.70
4085.72, 8.71
4098.75, 8.72
4111.78, 8.73
4124.81, 8.74
4137.85, 8.76
4150.88, 8.77
4163.91, 8.78
4176.95, 8.79
4189.98, 8.80
4203.01, 8.81
4216.05, 8.82
4229.08, 8.83
4242.11, 8.85
4255.14, 8.86
4268.18, 8.87
4281.21, 8.88
4294.24, 8.89
4307.28, 8.90
4320.31, 8.91
4333.34, 8.92
4346.37, 8.93
4359.41, 8.95
4372.44, 8.96
4385.47, 8.97
4398.51, 8.98
4411.54, 8.99
4424.57, 9.00
4437.60, 9.01
4450.64, 9.02
4463.67, 9.03
4476.70, 9.04
4489.74, 9.05
4502.77, 9.06
4515.80, 9.08
4528.84, 9.09
4541.87, 9.10
4554.90, 9.11
4567.93, 9.12
4580.97, 9.13
4594.00, 9.14
4607.03, 9.15
4620.07, 9.16
4633.10, 9.17
4646.13, 9.18
4659.16, 9.19
4672.20, 9.20
4685.23, 9.21
4698.26, 9.22
4711.30, 9.23
4724.33, 9.24
4737.36, 9.25
4750.40, 9.27
4763.43, 9.28
4776.46, 9.29
4789.49, 9.30
4802.53, 9.31
4815.56, 9.32
4828.59, 9.33
4841.63, 9.34
4854.66, 9.35
4867.69, 9.36
4880.72, 9.37
4893.76, 9.38
4906.79, 9.39
4919.82, 9.40
4932.86, 9.41
4945.89, 9.42
4958.92, 9.43
4971.96, 9.44
4984.99, 9.45
4998.02, 9.46
5011.05, 9.47
5024.09, 9.48
5037.12, 9.49
5050.15, 9.50
5063.19, 9.51
5076.22, 9.52
5089.25, 9.53
5102.28, 9.54
5115.32, 9.55
5128.35, 9.56
5141.38, 9.57
5154.42, 9.58
5167.45, 9.59
5180.48, 9.60
5193.52, 9.61
5206.55, 9.62
5219.58, 9.63
5232.61, 9.64
5245.65, 9.65
5258.68, 9.66
5271.71, 9.67
5284.75, 9.68
5297.78, 9.69
5310.81, 9.70
5323.84, 9.71
5336.88, 9.72
5349.91, 9.73
5362.94, 9.74
5375.98, 9.75
5389.01, 9.75
5402.04, 9.76
5415.08, 9.77
5428.11, 9.78
5441.14, 9.79
5454.17, 9.80
5467.21, 9.81
5480.24, 9.82
5493.27, 9.83
5506.31, 9.84
5519.34, 9.85
5532.37, 9.86
5545.40, 9.87
5558.44, 9.88
5571.47, 9.89
5584.50, 9.90
5597.54, 9.91
5610.57, 9.92
5623.60, 9.93
5636.63, 9.94
5649.67, 9.94
5662.70, 9.95
5675.73, 9.96
5688.77, 9.97
5701.80, 9.98
5714.83, 9.99
5727.87, 10.00
5740.90, 10.01
5753.93, 10.02
5766.96, 10.03
5780.00, 10.04
5793.03, 10.05
5806.06, 10.06
5819.10, 10.06
5832.13, 10.07
5845.16, 10.08
5858.19, 10.09
5871.23, 10.10
5884.26, 10.11
5897.29, 10.12
5910.33, 10.13
5923.36, 10.14
5936.39, 10.15
5949.43, 10.16
5962.46, 10.16
5975.49, 10.17
5988.52, 10.18
6001.56, 10.19
6014.59, 10.20
6027.62, 10.21
6040.66, 10.22
6053.69, 10.23
6066.72, 10.24
6079.75, 10.25
6092.79, 10.25
6105.82, 10.26
6118.85, 10.27
6131.89, 10.28
6144.92, 10.29
6157.95, 10.30
6170.99, 10.31
6184.02, 10.32
6197.05, 10.33
6210.08, 10.33
6223.12, 10.34
6236.15, 10.35
6249.18, 10.36
6262.22, 10.37
6275.25, 10.38
6288.28, 10.39
6301.31, 10.40
6314.35, 10.40
6327.38, 10.41
6340.41, 10.42
6353.45, 10.43
6366.48, 10.44
6379.51, 10.45
6392.55, 10.46
6405.58, 10.47
6418.61, 10.47
6431.64, 10.48
6444.68, 10.49
6457.71, 10.50
6470.74, 10.51
6483.78, 10.52
6496.81, 10.53
6509.84, 10.53
6522.87, 10.54
6535.91, 10.55
6548.94, 10.56
6561.97, 10.57
6575.01, 10.58
6588.04, 10.59
6601.07, 10.59
6614.10, 10.60
6627.14, 10.61
6640.17, 10.62
6653.20, 10.63
6666.24, 10.64
6679.27, 10.65
6692.30, 10.65
6705.34, 10.66
6718.37, 10.67
6731.40, 10.68
6744.43, 10.69
6757.47, 10.70
6770.50, 10.70
6783.53, 10.71
6796.57, 10.72
6809.60, 10.73
6822.63, 10.74
6835.66, 10.75
