Handmade catalog of Pulsars outside SNRs from the ATNF
#, NAME, P0 (s), P1
627, J1332-3032, lml+98, 0.650434490647, 17, hlk+04, 5.603E-16, 4, hlk+04 
628, J1333-4449, jbo+09, 0.345602948594, 3, jbo+09, 0.00054E-15, 19, jbo+09 
629, J1334-5839, mld+96, 0.1077182159234, 2, dsb+98, 2.1596E-17, 4, dsb+98 
630, J1335-5656, nie+20, 0.003238, 0, nie+20, 1.21e-20, 0, nie+20 

631, J1336-2522, kmk+18, 0.478145482800, 6, kmk+18, 0.3306E-15, 5, kmk+18 
632, J1337-4441, kbj+18, 1.25751149260, 4, sfj+20, 3.031E-16, 5, sfj+20 
633, J1337-6306, hfs+04, 0.207953012189, 4, hfs+04, 3.558E-16, 3, hfs+04 
634, J1337-6423, kjb+12, 0.009423406717798, 17, nbb+14, 2.469E-20, 18, nbb+14 
635, B1334-61, jlm+92, 1.23900057924, 4, lbs+20, 1.37911E-14, 10, lbs+20 

636, J1339-4712, jbo+09, 0.1370546579332, 4, jbo+09, 0.00053E-15, 2, jbo+09 
637, J1339-6618, kbm+03, 0.55817922185, 5, kbm+03, 3.5E-16, 3, kbm+03 
638, B1336-64, mlt+78, 0.37862206628, 4, nmc81, 5.0512E-15, 16, nmc81 
639, J1341-6023, mlc+01, 0.627285365870, 16, mlc+01, 1.9461E-14, 8, mlc+01 
640, J1342+2822B, hrs+07, 0.002389420757786, 1, hrs+07, 1.858E-20, 4, hrs+07 

641, J1343+6634, mhl+18, 1.39410378554, 1, mbc+20, 1.0882E-15, 7, mbc+20 
642, J1344-5855, ccb+20, 0.252397929468, 5, ccb+20, 2914.5E-18, 17, ccb+20 
643, J1344-6059, kbm+03, 0.54010232140, 6, kbm+03, 4.3E-17, 4, kbm+03 
644, J1345-6115, mlc+01, 1.25308459010, 18, mlc+01, 3.25E-15, 8, mlc+01 
645, J1346-4918, bbb+12, 0.2996251068, 2, bbb+12, 0.035E-15, 3, bbb+12 

646, J1347-5947, mlc+01, 0.609961754304, 15, mlc+01, 1.4160E-14, 7, mlc+01 
647, J1348-6307, mlc+01, 0.9277722389, 3, mlc+01, 3.79E-15, 7, mlc+01 
648, J1349-6130, mlc+01, 0.259364764102, 13, psj+19, 5.11709E-15, 3, psj+19 
649, J1350-5115, lml+98, 0.295699706346, 7, lbs+20, 7.57513E-16, 18, lbs+20 
650, J1350-6225, cwp+17, 0.1381577782128, 12, cwp+17, 8.88351E-15, 4, cwp+17 

651, J1352-6803, ebvb01, 0.628902546380, 16, ebvb01, 1.234E-15, 3, ebvb01 
652, J1354-6249, kbm+03, 2.951938334, 3, kbm+03, 1.48E-14, 11, kbm+03 
653, B1352-51, mlt+78, 0.644304508167, 13, lbs+20, 2.81191E-15, 5, lbs+20 
654, J1355-5747, lfl+06, 2.0386738254, 4, lfl+06, 7.1E-16, 9, lfl+06 
655, J1355-5925, kbm+03, 1.21338122674, 5, kbm+03, 5.986E-15, 11, kbm+03 

656, J1355-6206, kbm+03, 0.276603043150, 10, kbm+03, 3.1E-18, 6, kbm+03 
657, J1356-5521, mld+96, 0.507379566696, 6, dsb+98, 7.2350E-16, 10, dsb+98 
658, J1357-6429, lfl+06, 0.166108327507, 14, lfl+06, 3.601843E-13, 14, lfl+06 
659, J1358-6025, nie+20, 0.060533, 0, nie+20, 3.02e-15, 0, nie+20 
660, B1356-60, mlt+78, 0.1275084662167, 4, jbv+19, 6.330280E-15, 12, jbv+19 

661, J1400-1431, rsm+13, 0.00308423326039194, 8, skm+17, 7.2333E-21, 15, skm+17 
662, B1358-63, mlt+78, 0.84280532179, 6, lbs+20, 1.68254E-14, 4, lbs+20 
663, J1402+1306, aab+22, 0.005892408636028, 5, saa+23, 1.346E-20, 3, saa+23 
664, B1359-51, vl70, 1.380182295, 4, lbs+20, 5.413E-15, 4, lbs+20 
665, J1403-6310, kbm+03, 0.39917017693, 5, kbm+03, 9E-17, 2, kbm+03 

666, J1403-7646, lml+98, 1.3061978120, 8, ebvb01, 1.204E-15, 16, ebvb01 
667, J1404+1159, cha03, 2.65043929892, 4, mbc+20, 1.3768E-15, 6, mbc+20 
668, J1405-4656, btb+15, 0.00760220343251, 1, btb+15, 2.79E-20, 4, btb+15 
669, J1405-5641, lfl+06, 0.61757468514, 4, lfl+06, 1.198E-15, 12, lfl+06 
670, J1406-4233, kbj+18, 2.43679543159, 18, sfj+20, 6.81E-16, 3, sfj+20 

671, J1406-5806, kbm+03, 0.28834924425, 5, kbm+03, 6.11E-16, 10, kbm+03 
672, J1406-6121, mlc+01, 0.213074653776, 14, mlc+01, 5.4701E-14, 3, mlc+01 
673, J1407-6048, mlc+01, 0.49234420664, 5, mlc+01, 3.156E-15, 8, mlc+01 
674, J1407-6153, mlc+01, 0.7016149492, 3, mlc+01, 8.85E-15, 7, mlc+01 
675, J1409-6953, bbb+12, 0.5285907792, 3, bbb+12, 0.84E-15, 1, bbb+12 

676, J1410-6132, ojk+08, 0.0500519462, 0, ojk+08, 32E-15, 0, ojk+08 
677, J1410-7404, eb01b, 0.2787294436271, 15, eb01b, 6.74E-18, 9, eb01b 
678, J1411+2551, msf+17, 0.062452895517590, 2, msf+17, 9.56E-20, 51, msf+17 
679, J1412-6111, mlc+01, 0.52915639797, 4, mlc+01, 1.91E-15, 3, mlc+01 
680, J1412-6145, mlc+01, 0.31525843337, 13, psj+19, 9.9033E-14, 4, psj+19 

681, J1412+7922, zhi+11, 0.058199071070, 18, bhe+19, 3.29134E-15, 30, bhe+19 
682, J1413-6141, kbm+03, 0.28562462018, 16, kbm+03, 3.3344E-13, 15, kbm+03 
683, J1413-6205, sdz+10, 0.10974069969, 3, sdz+10, 2.7680E-14, 4, sdz+10 
684, J1413-6222, mlc+01, 0.29240770249, 3, mlc+01, 2.229E-15, 6, mlc+01 
685, B1409-62, jlm+92, 0.394945790784, 2, jml+95, 7.4343E-15, 2, jml+95 

686, J1414-6802, ebvb01, 4.6301880619, 4, ebvb01, 6.39E-15, 7, ebvb01 
687, J1415-6621, ebvb01, 0.39247897310, 5, hfs+04, 5.800E-16, 10, hfs+04 
688, J1416-5033, bbb+12, 0.794882546, 2, bbb+12, 0.12E-15, 5, bbb+12 
689, J1416-6037, mlc+01, 0.29558048193, 3, mlc+01, 4.280E-15, 15, mlc+01 
690, J1418-3921, mld+96, 1.09680600340, 2, dsb+98, 8.892E-16, 3, dsb+98 

691, J1418-5945, kbm+03, 1.6725956812, 3, kbm+03, 2.71E-16, 17, kbm+03 
692, J1418-6058, aaa+09c, 0.110573011690, 13, rkp+11, 1.69394E-13, 10, rkp+11 
693, B1417-54, mlt+78, 0.935772204694, 18, lbs+20, 2.3218E-16, 7, lbs+20 
694, J1420-5625, hfs+04, 0.03411713084786, 12, hfs+04, 6.8E-20, 17, hfs+04 
695, J1420-6048, dkm+01, 0.06817987659, 2, dkm+01, 8.3167E-14, 3, dkm+01 

696, J1421-4409, kbj+18, 0.0063857288383424, 1, sfj+20, 1.2366E-20, 7, sfj+20 
697, J1422-6138, pga+13, 0.34096785164, 12, pga+13, 9.6836E-14, 11, pga+13 
698, J1423-6953, ebvb01, 0.333410710172, 3, jbo+09, 1.45130E-15, 6, jbo+09 
699, J1424-5556, hfs+04, 0.770374845874, 18, hfs+04, 7.80E-16, 3, hfs+04 
700, J1424-5822, kbm+03, 0.36673618809, 13, lbs+20, 3.9356E-15, 3, lbs+20 

701, J1424-6438, kbm+03, 1.02350369913, 9, kbm+03, 2.4E-16, 7, kbm+03 
702, J1425-5723, kbm+03, 0.35326292024, 8, kbm+03, 2.2E-17, 2, kbm+03 
703, J1425-5759, kbm+03, 0.70786760576, 4, kbm+03, 7.42E-16, 16, kbm+03 
704, J1425-6210, mlc+01, 0.50173030987, 8, mlc+01, 4.8E-16, 4, mlc+01 
705, J1427-4158, jbo+09, 0.586485556229, 18, jbo+09, 0.6212E-15, 7, jbo+09 

706, B1424-55, mlt+78, 0.570292409826, 4, lbs+20, 2.086574E-15, 14, lbs+20 
707, J1429-5911, sdz+10, 0.11584261008, 3, sdz+10, 3.0500E-14, 3, sdz+10 
708, J1429-5935, mlc+01, 0.76391483053, 8, mlc+01, 4.2751E-14, 9, mlc+01 
709, J1430-5712, ccb+20, 0.491518803580, 9, ccb+20, 46940.8E-18, 16, ccb+20 
710, B1426-66, lvw68, 0.7854433453623, 7, jbv+19, 2.77752E-15, 5, jbv+19 

711, J1431-4715, btb+15, 0.0020119534425332, 9, btb+15, 1.411E-20, 3, btb+15 
712, J1431-5740, bbb+13, 0.0041105439567658, 12, bbb+13, 6.42E-21, 12, bbb+13 
713, J1432-5032, kjv+10, 2.0349894792, 3, bbb+12, 5.924E-15, 8, bbb+12 
714, J1433-6038, kel+09, 1.9544296353, 5, kel+09, 5.63E-15, 4, kel+09 
715, J1434-5943, ccb+20, 1.07212121207, 3, ccb+20, 29.6E-18, 18, ccb+20 

716, J1434-6006, kbm+03, 0.30636786268, 4, kbm+03, 3.020E-15, 17, kbm+03 
717, J1434-6029, mlc+01, 0.96334832315, 16, mlc+01, 1.03E-15, 8, mlc+01 
718, J1434+7257, slr+14, 0.04174114783993, 3, slr+14, 5.50E-19, 1, slr+14 
719, J1435-5954, hfs+04, 0.472996377203, 9, lbs+20, 1.54793E-15, 3, lbs+20 
720, J1435-6100, clm+01, 0.009347972210248, 7, clm+01, 2.45E-20, 5, clm+01 

721, J1437-6146, hfs+04, 0.46761632345, 7, hfs+04, 6.3304E-15, 9, hfs+04 
722, J1439-5501, fsk+04, 0.028634888190455, 12, lfl+06, 1.418E-19, 10, lfl+06 
723, B1436-63, mlt+78, 0.459606723901, 7, jbv+19, 1.1208E-15, 5, jbv+19 
724, J1441-6137, kbm+03, 1.17584002290, 10, kbm+03, 3.6E-16, 5, kbm+03 
725, J1443-5122, kjv+10, 0.7320612647, 5, bbb+12, 0.338E-15, 9, bbb+12 

726, J1444-5941, mlc+01, 2.7602279448, 6, mlc+01, 8.2E-15, 3, mlc+01 
727, J1444-6026, mll+06, 4.7585755679, 2, mlk+09, 18.542E-15, 8, mlk+09 
728, J1446-4701, kjb+12, 0.002194695780881595, 15, rsc+21, 9.8075E-21, 3, rsc+21 
729, J1447-5757, nie+20, 0.158730, 0, nie+20, 1.17e-14, 0, nie+20 
730, J1449-5846, kbm+03, 0.463329577191, 18, kbm+03, 8.6E-17, 9, kbm+03 

731, J1452-5851, mlc+01, 0.3866429281059, 3, psj+19, 5.07021E-14, 3, psj+19 
732, J1452-6036, kbm+03, 0.1549921917383, 5, jks21, 1.45056E-15, 5, jks21 
733, J1453+1902, lmcs07, 0.00579230273884754, 11, aab+21a, 1.1656E-20, 5, aab+21a 
734, B1449-64, lvw69a, 0.179486804423, 3, psj+19, 2.74416E-15, 5, psj+19 
735, J1454-5846, clm+01, 0.04524877299803, 11, clm+01, 8.17E-19, 9, clm+01 

736, J1455-3330, lnl+95, 0.00798720480668373, 3, aab+21a, 2.43045E-20, 4, aab+21a 
737, B1451-68, lvw68, 0.2633769071818, 5, jbv+19, 9.895E-17, 3, jbv+19 
738, B1454-51, mlt+78, 1.74830750523, 7, lbs+20, 5.2972E-15, 3, lbs+20 
739, J1457-5900, kbm+03, 1.4986374368, 4, kbm+03, 3.66E-15, 7, kbm+03 
740, J1457-5902, kbm+03, 0.39073936418, 5, kbm+03, 1.2306E-14, 14, kbm+03 

741, J1459-6053, aaa+09c, 0.103150638274, 11, rkp+11, 2.52704E-14, 6, rkp+11 
742, J1501-0046, lbr+13, 0.4640368139284, 82, lbr+13, 2.391E-16, 60, lbr+13 
743, J1501-5637, kbm+03, 0.7829485661, 3, kbm+03, 1.7E-16, 8, kbm+03 
744, J1502+4653, ccl+21, 1.75250806376, 4, ccl+21, 1.72E-16, 10, ccl+21 
745, J1502-5653, hfs+04, 0.535504397790, 3, hfs+04, 1.8286E-15, 3, hfs+04 

746, J1502-5828, kbm+03, 0.66810515091, 14, kbm+03, 3.640E-14, 8, kbm+03 
747, J1502-6128, kbm+03, 0.84210384000, 3, kbm+03, 1.348E-15, 7, kbm+03 
748, J1502-6752, kjb+12, 0.02674442376700, 6, nbb+14, 3.145E-19, 14, nbb+14 
749, J1503+2111, clm+05, 3.31400150122, 12, clm+05, 0.14E-15, 2, clm+05 
750, J1504-5621, kbm+03, 0.41298519981, 3, kbm+03, 5.529E-15, 12, kbm+03 

751, J1504-5659, ccb+20, 1.67237234272, 3, ccb+20, 1428E-18, 3, ccb+20 
752, B1503-51, mlt+78, 0.840738545, 3, nmc81, 6.37E-15, 14, nmc81 
753, B1504-43, mlt+78, 0.2867584998375, 9, lbs+20, 1.58435E-15, 5, lbs+20 
754, J1507-5800, ccb+20, 0.897254102404, 11, ccb+20, 260.3E-18, 6, ccb+20 
755, B1503-66, mlt+78, 0.355656301098, 12, lbs+20, 1.15191E-15, 3, lbs+20 

756, B1508+55, htg+68, 0.739681922904, 4, hlk+04, 4.99821E-15, 4, hlk+04 
757, J1509-5850, kbm+03, 0.088924862943, 6, psj+19, 9.16633E-15, 13, psj+19 
758, J1509-6015, kbm+03, 0.33903844870, 4, kbm+03, 2.121E-15, 12, kbm+03 
759, B1507-44, mlt+78, 0.9438712975, 11, nmc81, 6.1E-16, 4, nmc81 
760, J1511-5414, kbm+03, 0.200383946403, 4, lbs+20, 4.8474E-16, 9, lbs+20 

761, J1511-5835, kbm+03, 0.30151055002, 4, kbm+03, 3.44E-16, 19, kbm+03 
762, J1512-5431, kbm+03, 2.0405315742, 3, kbm+03, 1.92E-15, 6, kbm+03 
763, B1508-57, jlm+92, 0.128698573047, 3, psj+19, 6.852697E-15, 4, psj+19 
764, J1513-2550, san16, 0.0021190675651177, 1, san16, 21.61E-21, 2, san16 
765, J1513-5739, mlc+01, 0.97345803480, 9, mlc+01, 2.755E-14, 4, mlc+01 

766, J1513-5946, kle+10, 1.046117156733, 8, kkl+11, 8.5284E-15, 4, kkl+11 
767, J1513-6013, ccb+20, 1.95873704232, 12, ccb+20, 1371E-18, 8, ccb+20 
768, B1510-48, mlt+78, 0.454840332571, 7, lbs+20, 9.26101E-16, 19, lbs+20 
769, J1514-4946, kcj+12, 0.0035893366796749, 7, ckr+15, 1.8646E-20, 11, ckr+15 
770, J1514-5316, ccb+20, 0.296279212139, 4, ccb+20, 1.6E-18, 5, ccb+20 

771, J1514-5925, kbm+03, 0.1487974678456, 18, psj+19, 2.8786E-15, 4, psj+19 
772, J1515-5720, kbm+03, 0.286648256081, 14, psj+19, 6.093718E-15, 17, psj+19 
773, J1517-4356, ebvb01, 0.650836871901, 6, ebvb01, 2.155E-16, 6, ebvb01 
774, J1517-4636, kjv+10, 0.88661249686, 5, bbb+12, 2.098E-15, 2, bbb+12 
775, B1516+02A, wakp89, 0.005553592524205, 2, awkp97, 4.122E-20, 6, awkp97 

776, B1516+02B, wakp89, 0.007946940657879, 21, awkp97, -3.33E-21, 26, awkp97 
777, J1518+0204C, hrs+07, 0.0024839275702455, 6, prf+14, 2.60690E-20, 13, prf+14 
778, J1518-0627, lbr+13, 0.7949966745699, 78, lbr+13, 4.179E-16, 56, lbr+13 
779, J1518-3952, bsb+19, 0.499195890475, 15, bsb+19, 0.237E-15, 8, bsb+19 
780, J1518+4904, nst96, 0.0409349889083329, 6, jsk+08, 2.7190E-20, 3, jsk+08 

781, J1518-5415, kel+09, 0.214924800284, 6, kel+09, 0.0406E-15, 14, kel+09 
782, J1519-5734, lfl+06, 0.51875778474, 3, lfl+06, 4.273E-15, 5, lfl+06 
783, J1519-6106, lfl+06, 2.15430706064, 14, lfl+06, 8.372E-15, 19, lfl+06 
784, J1519-6308, hfs+04, 1.25405163056, 10, hfs+04, 5.96E-15, 5, hfs+04 
785, J1522-5525, kbm+03, 1.3896046876, 16, kbm+03, 3.30E-15, 8, kbm+03 

786, B1518-58, jlm+92, 0.395354481573, 15, lbs+20, 2.05679E-15, 7, lbs+20 
787, J1523-3235, sfj+20, 1.5048345580, 3, sfj+20, 9.53E-16, 10, sfj+20 
788, J1524-5625, kbm+03, 0.078218548881, 5, kbm+03, 3.895005E-14, 19, kbm+03 
789, J1524-5706, kbm+03, 1.11617445717, 12, psj+19, 3.563574E-13, 3, psj+19 
790, J1524-5819, kel+09, 0.96104262694, 10, kel+09, 126.016E-15, 10, kel+09 

791, J1525-5417, kbm+03, 1.01169421772, 7, kbm+03, 1.6174E-14, 14, kbm+03 
792, J1525-5523, ncb+15, 0.3551560369998, 16, ncb+15, 8.96E-18, 7, ncb+15 
793, J1525-5545, nbb+14, 0.011359881791767, 19, nbb+14, 1.314E-19, 6, nbb+14 
794, J1525-5605, kbm+03, 0.28034866206, 4, kbm+03, 1.16E-16, 7, kbm+03 
795, J1526-2744, cbb+23, 0.0024891435871920, 19, saa+23, 3.537E-21, 9, saa+23 

796, J1526-5633, kbm+03, 0.30188789663, 5, kbm+03, 1.23E-16, 17, kbm+03 
797, B1524-39, mlt+78, 2.41760539437, 6, lbs+20, 1.90612E-14, 3, lbs+20 
798, B1523-55, mlt+78, 1.048718553809, 5, lbs+20, 1.12685E-14, 3, lbs+20 
799, J1528-3146, jbo+07, 0.06082223035146, 1, jbo+07, 24.9E-20, 1, jbo+07 
800, J1528-4109, ebvb01, 0.526556139140, 4, ebvb01, 3.955E-16, 4, ebvb01 

801, J1528-5547, ncb+15, 3.4673015170, 17, ncb+15, 7750E-18, 20, ncb+15 
802, J1528-5838, cwp+17, 0.355686622097, 8, cwp+17, 2.475859E-14, 13, cwp+17 
803, J1529-3828, nbb+14, 0.00848628211574, 6, nbb+14, 2.70E-20, 13, nbb+14 
804, J1529-5355, kbm+03, 0.8912645399, 4, kbm+03, 8.1E-16, 4, kbm+03 
805, J1529-5611, kbm+03, 0.8222487311, 5, kbm+03, 4.1E-15, 3, kbm+03 

806, J1530-5327, mlc+01, 0.278958414924, 4, psj+19, 4.67985E-15, 8, psj+19 
807, J1530-6343, bbb+12, 0.910319586358, 11, bsb+19, 0.825E-15, 7, bsb+19 
808, J1531-4012, ebvb01, 0.356849312855, 6, ebvb01, 9.63E-17, 6, ebvb01 
809, J1531-5610, kbm+03, 0.084206064052, 3, psj+19, 1.379389E-14, 10, psj+19 
810, B1530+27, dth78, 1.124835742767, 7, hlk+04, 7.7956E-16, 6, hlk+04 

811, J1532-5308, kbm+03, 0.44382460830, 4, kbm+03, 6.5E-17, 6, kbm+03 
812, J1534-4428, bbb+12, 1.2214259588, 3, bbb+12, 0.18E-15, 2, bbb+12 
813, B1530-53, lvw69a, 1.368882242545, 6, jbv+19, 1.4288E-15, 4, jbv+19 
814, B1530-539, jlm+92, 0.289688895200, 6, jml+95, 1.5429E-15, 4, jml+95 
815, J1535-4114, ebvb01, 0.432866133845, 6, ebvb01, 4.0705E-15, 6, ebvb01 

816, J1535-4415, ebvb01, 0.46840160422, 3, jbo+09, 0.0405E-15, 9, jbo+09 
817, J1535-5450, kbm+03, 0.56673415672, 4, kbm+03, 1.4338E-14, 10, kbm+03 
818, J1535-5848, kbm+03, 0.307177662775, 7, kbm+03, 2.716E-15, 3, kbm+03 
819, J1536-3602, jbo+09, 1.31975904174, 5, jbo+09, 0.7900E-15, 19, jbo+09 
820, J1536-4948, brj+21, 0.0030799140584053, 6, brj+21, 2.11895E-20, 10, brj+21 

821, J1536-5433, mlc+01, 0.8814384311, 3, mlc+01, 1.91E-15, 8, mlc+01 
822, J1536-5907, kel+09, 0.55784066031, 3, kel+09, 1.366E-15, 7, kel+09 
823, B1534+12, wol91a, 0.03790444117830463, 16, fst14, 2.422494E-18, 3, fst14 
824, J1537-4912, ebvb01, 0.30131077523, 8, jbo+09, 1.932E-15, 2, jbo+09 
825, J1537-5153, kbm+03, 1.52812410566, 12, kbm+03, 4.172E-15, 12, kbm+03 

826, J1537-5312, ccb+20, 0.0069270955083835, 15, ccb+20, 0.01586E-18, 11, ccb+20 
827, J1537-5645, mlc+01, 0.43046412386, 15, mlc+01, 2.78E-15, 6, mlc+01 
828, J1538+2345, kkl+15, 3.44938495332, 10, kkl+15, 6.889E-15, 12, kkl+15 
829, J1538-5438, mlc+01, 0.27672613726, 5, mlc+01, 1.42E-15, 3, mlc+01 
830, J1538-5519, kel+09, 0.39573063893, 8, kel+09, 0.041E-15, 15, kel+09 

831, J1538-5551, hfs+04, 0.1046759019619, 5, psj+19, 3.20705E-15, 7, psj+19 
832, J1538-5621, ncb+15, 1.90849449143, 2, ncb+15, 7311.8E-18, 7, ncb+15 
833, J1538-5638, kbm+03, 0.84398039688, 14, kbm+03, 7.12E-15, 8, kbm+03 
834, J1538-5732, lfl+06, 0.341212811806, 6, lfl+06, 4.5498E-15, 6, lfl+06 
835, J1538-5750, kbm+03, 0.506568335296, 18, kbm+03, 4.2E-17, 3, kbm+03 

836, J1539-4828, ekl09, 1.27284159978, 14, eklk13, 1.267E-15, 2, eklk13 
837, J1539-5521, kbm+03, 1.00495831813, 8, kbm+03, 7.28E-16, 8, kbm+03 
838, B1535-56, jlm+92, 0.243395150846, 11, psj+19, 4.847844E-15, 12, psj+19 
839, J1539-6322, ebvb01, 1.63084630957, 3, jbo+09, 0.2016E-15, 6, jbo+09 
840, J1540-5736, mlc+01, 0.61291628569, 8, mlc+01, 4.2E-16, 3, mlc+01 

841, J1541+47, dcm+23, 0.277700692894, 4, dcm+23, 2.098E-16, 8, dcm+23 
842, J1541-5535, kbm+03, 0.29583755345, 9, kbm+03, 7.502E-14, 3, kbm+03 
843, J1542-5034, mld+96, 0.5992480029, 4, lbs+20, 4.0248E-15, 15, lbs+20 
844, J1542-5133, hfs+04, 1.7838649877, 3, hfs+04, 5.9E-16, 6, hfs+04 
845, J1542-5303, kbm+03, 1.20756776526, 6, kbm+03, 7.780E-14, 3, kbm+03 

846, B1540-06, mlt+78, 0.709064069786, 4, hlk+04, 8.7954E-16, 4, hlk+04 
847, B1541+09, ls69, 0.748448416229, 6, hlk+04, 4.3248E-16, 4, hlk+04 
848, J1543-5013, kbm+03, 0.6442550645, 6, kbm+03, 1.0132E-14, 17, kbm+03 
849, J1543-5149, kjb+12, 0.0020569603924157, 6, nbb+14, 1.6159E-20, 13, nbb+14 
850, J1543-5459, mlc+01, 0.37713777811, 6, psj+19, 5.20978E-14, 10, psj+19 

851, J1544-0713, sfj+20, 0.484129803194, 4, sfj+20, 1.13663E-15, 8, sfj+20 
852, J1544+4937, brr+13, 0.00215928839042476, 10, kbkr23, 2.7966E-21, 5, kbkr23 
853, B1541-52, mlt+78, 0.178553872949, 3, lbs+20, 6.02531E-17, 13, lbs+20 
854, J1545-4550, bbb+13, 0.003575288623474622, 11, rsc+21, 5.24544E-20, 3, rsc+21 
855, J1546-5302, kbm+03, 0.58083988615, 4, kbm+03, 1.180E-14, 3, kbm+03 

856, J1546-5925, mlb+12, 0.007796728856036, 2, lkf+21, 1.61E-20, 3, lkf+21 
857, J1547-0944, lbr+13, 1.576924632943, 44, lbr+13, 2.938E-15, 36, lbr+13 
858, J1547-5709, ccb+20, 0.0042911460641714, 6, ccb+20, 0.00745E-18, 3, ccb+20 
859, J1547-5750, hfs+04, 0.64719774666, 6, hfs+04, 2.6E-17, 5, hfs+04 
860, J1547-5839, kbm+03, 0.242190323768, 10, kbm+03, 5.94E-16, 3, kbm+03 

861, J1548-4821, kbm+03, 0.14565471947, 3, kbm+03, 8E-19, 11, kbm+03 
862, J1548-4927, kbm+03, 0.602738077704, 19, kbm+03, 4.047E-15, 3, kbm+03 
863, J1548-5607, mlc+01, 0.170937955921, 6, psj+19, 1.0732930E-14, 9, psj+19 
864, J1549+2113, fcwa95, 1.262471311613, 5, lxf+05, 0.8541E-15, 8, lxf+05 
865, J1549-4848, mld+96, 0.2883549019075, 17, psj+19, 1.410776E-14, 3, psj+19 

866, J1549-5722, kbm+03, 0.49777239400, 8, kbm+03, 4.7E-17, 10, kbm+03 
867, J1550-5242, kbm+03, 0.74965894957, 4, kbm+03, 1.7774E-14, 6, kbm+03 
868, J1550-5317, kbm+03, 1.42112434544, 13, kbm+03, 9.35E-16, 11, kbm+03 
869, J1551-4424, bbb+12, 0.6740603610, 2, bbb+12, 0.188E-15, 8, bbb+12 
870, J1551-5310, hfs+04, 0.45344775276, 3, psj+19, 1.94834E-13, 4, psj+19 

871, J1551-6214, bbb+12, 0.1988386042970, 8, bsb+19, 0.0228E-15, 5, bsb+19 
872, J1552-4937, fsk+04, 0.0062843113814174, 12, lem+15, 1.900E-20, 4, lem+15 
873, J1552+5437, pbh+17, 0.0024278884863579, 6, pbh+17, 2.798E-21, 11, pbh+17 
874, B1550-54, mlt+78, 1.0813471470, 8, lbs+20, 1.571543E-14, 12, lbs+20 
875, J1554-5209, kle+10, 0.1252295584025, 7, kkl+11, 2.29442E-15, 5, kkl+11 

876, J1554-5512, kbm+03, 3.418039313, 3, kbm+03, 3.12E-14, 10, kbm+03 
877, J1555-0515, blr+13, 0.97540989108, 5, blr+13, 2.054E-15, 2, blr+13 
878, B1552-23, mlt+78, 0.5325777412091, 18, hlk+04, 6.93702E-16, 15, hlk+04 
879, J1555-2908, rnc+22, 0.00178750176696939, 16, rnc+22, 4.4531E-20, 7, rnc+22 
880, B1552-31, mlt+78, 0.5181097798008, 9, hlk+04, 6.2232E-17, 9, hlk+04 

881, J1556-5358, kbm+03, 0.99468068673, 14, kbm+03, 1.042E-14, 8, kbm+03 
882, J1557-4258, mld+96, 0.329186857758, 2, dsb+98, 3.3012E-16, 2, dsb+98 
883, J1557-5151, ccb+20, 0.408154708451, 8, ccb+20, 75.4E-18, 9, ccb+20 
884, J1558-5419, mlc+01, 0.59457526355, 15, mlc+01, 6.04E-15, 6, mlc+01 
885, J1558-5756, lfl+06, 1.12234168628, 3, lfl+06, 1.86406E-13, 4, lfl+06 

886, B1556-44, vl72, 0.2570560976508, 11, smd93, 1.01916E-15, 8, smd93 
887, B1555-55, mlt+78, 0.95726683934, 5, lbs+20, 1.9915E-14, 3, lbs+20 
888, J1600-3053, jbo+07, 0.003597928510587011, 10, rsc+21, 9.49970E-21, 17, rsc+21 
889, B1557-50, kac+73, 0.1926048997686, 4, jbv+19, 5.06191E-15, 4, jbv+19 
890, B1556-57, mlt+78, 0.1944558939197, 8, psj+19, 2.129138E-15, 12, psj+19 

891, J1600-5916, lfl+06, 1.2476661740, 3, lfl+06, 8.9E-16, 7, lfl+06 
892, J1601-5244, mlc+01, 2.559356631, 7, mlc+01, 7.2E-16, 14, mlc+01 
893, J1601-5335, mlc+01, 0.288479334214, 6, psj+19, 6.23473E-14, 9, psj+19 
894, J1602-4957, kbm+03, 0.81999003685, 14, kbm+03, 1.594E-14, 3, kbm+03 
895, B1558-50, kac+73, 0.86428620828, 3, jbv+19, 6.94149E-14, 15, jbv+19 

896, J1603-2531, mld+96, 0.283071323092, 4, lbs+20, 1.593821E-15, 17, lbs+20 
897, B1600-27, mlt+78, 0.778313192792, 4, hlk+04, 3.00939E-15, 3, hlk+04 
898, J1603-3539, ebvb01, 0.1419085889640, 9, ebvb01, 1.2425E-16, 17, ebvb01 
899, J1603-5312, ccb+20, 0.83922081265, 6, ccb+20, 49600E-18, 5, ccb+20 
900, J1603-5657, lml+98, 0.49607711306, 9, dsb+98, 2.795E-15, 3, dsb+98 

901, J1603-7202, llb+96, 0.01484195225261733, 5, rsc+21, 1.56292E-20, 4, rsc+21 
902, J1604-3142, kbj+18, 0.883890454005, 11, sfj+20, 2.648E-17, 16, sfj+20 
903, J1604-4718, lfl+06, 0.527465874211, 20, lfl+06, 4.961E-15, 9, lfl+06 
904, B1600-49, mlt+78, 0.3274185215591, 11, jbv+19, 1.0187E-15, 3, jbv+19 
