---------------------------------------------------------------------------------------------------------------------------------------------
#, NAME, P0, P1, DIST, AGE, EDOT, EDOTD2
, (s), , (kpc), (Yr), (ergs/s), (ergs/kpc^2/s)
---------------------------------------------------------------------------------------------------------------------------------------------
40, J0106+4855, pga+12, 0.0831573050050, 6, pga+12, 4.2792E-16, 5, pga+12, 3.063, 3.08e+06, 2.9e+34, 3.1e+33

41, J0107+1322, scb+19, 1.19738339380, 10, tbc+20, 6.87E-16, 3, tbc+20, 2.349, 2.76e+07, 1.6e+31, 2.9e+30
42, B0105+65, dls72, 1.2836598429, 5, hlk+04, 1.3051E-14, 3, hlk+04, 2.140, 1.56e+06, 2.4e+32, 5.3e+31
43, B0105+68, dtws85, 1.071118109859, 5, hlk+04, 4.809E-17, 4, hlk+04, 1.981, 3.53e+08, 1.5e+30, 3.9e+29
44, J0108-1431, tnj+94, 0.807564614019, 20, hlk+04, 7.704E-17, 12, hlk+04, 0.210, 1.66e+08, 5.8e+30, 1.3e+32
45, J0111+6624, slr+14, 4.3018721008, 4, lsk+18, 8.36E-15, 17, lsk+18, 2.412, 8.15e+06, 4.1e+30, 7.1e+29

46, J0111-7131, mfl+06, 0.68854151164, 5, mfl+06, 7.092E-15, 4, mfl+06, 59.700, 1.54e+06, 8.6e+32, 2.4e+29
47, J0113-7220, ckm+01, 0.325883016130, 10, ckm+01, 4.8590E-15, 15, ckm+01, 59.700, 1.06e+06, 5.5e+33, 1.6e+30
48, J0115+6325, scb+19, 0.521455427473, 5, mbc+20, 1.599E-15, 3, mbc+20, 1.931, 5.17e+06, 4.5e+32, 1.2e+32
49, B0114+58, stwd85, 0.1014390664824, 20, hlk+04, 5.849955E-15, 17, hlk+04, 1.768, 2.75e+05, 2.2e+35, 7.1e+34
50, J0122+1416, ttk+17, 1.38899395038, 2, mbc+20, 3.8030E-15, 10, mbc+20, 1.584, 5.79e+06, 5.6e+31, 2.2e+31

51, J0125-2327, mbc+19, 0.003675374887568884, 14, cpb+23, 1.84160E-20, 14, cpb+23, 0.714, 3.16e+09, 1.5e+34, 2.9e+34
52, J0131-7310, mfl+06, 0.348124045581, 7, mfl+06, 1.7614E-15, 7, mfl+06, 59.700, 3.13e+06, 1.6e+33, 4.6e+29
53, J0133-6957, lml+98, 0.463473741703, 3, dsb+98, 1.200E-16, 2, dsb+98, 2.441, 6.12e+07, 4.8e+31, 8.0e+30
54, J0134-2937, mld+96, 0.136961610513651, 14, lwy+16, 7.83699E-17, 3, lwy+16, 25.000, 2.77e+07, 1.2e+33, 1.9e+30
55, J0137+1654, lxf+05, 0.4147630265082, 5, lxf+05, 1.223E-17, 3, lxf+05, 3.061, 5.37e+08, 6.8e+30, 7.2e+29

56, J0137+6349, slr+14, 0.717962726847, 6, lsk+18, 9.60E-16, 5, lsk+18, 9.097, 1.19e+07, 1.0e+32, 1.2e+30
57, J0139+3336, ttm+18, 1.24796095570, 10, mbc+20, 2.064E-15, 8, mbc+20, 1.472, 9.58e+06, 4.2e+31, 1.9e+31
58, J0139+5621, cvh+14, 1.77534382596, 10, cvh+14, 7.9096E-14, 3, cvh+14, 2.410, 3.56e+05, 5.6e+32, 9.6e+31
59, B0136+57, dth78, 0.272450630949, 15, hlk+04, 1.071167E-14, 12, hlk+04, 2.600, 4.03e+05, 2.1e+34, 3.1e+33
60, B0138+59, mth72, 1.2229485205457, 18, hlk+04, 3.91070E-16, 14, hlk+04, 2.300, 4.95e+07, 8.4e+30, 1.6e+30

61, J0146+6145, ims94, 8.6889941, 4, dk14, 1.99E-12, 5, dk14, 3.600, 6.91e+04, 1.2e+32, 9.3e+30
62, B0144+59, stwd85, 0.19632137543003, 16, ywml10, 2.56763E-16, 8, ywml10, 1.900, 1.21e+07, 1.3e+33, 3.7e+32
63, B0148-06, mlt+78, 1.464664549334, 7, hlk+04, 4.4259E-16, 5, hlk+04, 25.000, 5.24e+07, 5.6e+30, 8.9e+27
64, J0152+0948, clm+05, 2.74664729014, 10, clm+05, 1.700E-15, 4, clm+05, 2.477, 2.56e+07, 3.2e+30, 5.3e+29
65, B0149-16, mlt+78, 0.8327416126878, 13, hlk+04, 1.299202E-15, 6, hlk+04, 0.920, 1.02e+07, 8.9e+31, 1.0e+32

66, J0154+1833, mgf+19, 0.0023645697763006, 5, mgf+19, 2.919E-21, 12, mgf+19, 1.622, 1.28e+10, 8.7e+33, 3.3e+33
67, B0153+39, dtws85, 1.81156061131, 10, hlk+04, 1.516E-16, 10, hlk+04, 4.920, 1.89e+08, 1.0e+30, 4.2e+28
68, B0154+61, dls72, 2.35174493646, 7, hlk+04, 1.889254E-13, 5, hlk+04, 1.820, 1.97e+05, 5.7e+32, 1.7e+32
69, J0201+7005, kkl+15, 1.349184471846, 10, kkl+15, 5.5144E-15, 15, kkl+15, 1.172, 3.88e+06, 8.9e+31, 6.5e+31
70, J0203-0150, mzl+23, 0.0051733218641960, 4, mzl+23, 1.4281E-20, 11, mzl+23, 1.837, 5.74e+09, 4.1e+33, 1.2e+33

71, J0205+6449, mss+02, 0.06571592849324, 9, lrc+09, 1.93754256E-13, 4, lrc+09, 3.200, 5.37e+03, 2.7e+37, 2.6e+36
72, B0203-40, mlt+78, 0.630551259569, 4, jbv+19, 1.1966E-15, 3, jbv+19, 1.260, 8.35e+06, 1.9e+32, 1.2e+32
73, J0209+4331, crafts23, 0.863882616200, 3, wyw+23, 5.72E-17, 6, wyw+23, 2.531, 2.39e+08, 3.5e+30, 5.5e+29
74, J0209+5759, gac+21, 1.063906282526, 14, gac+21, 1.39190E-14, 14, gac+21, 1.743, 1.21e+06, 4.6e+32, 1.5e+32
75, J0210+5845, scb+19, 1.766208099, 2, tbc+20, 1.3402E-13, 2, tbc+20, 1.952, 2.09e+05, 9.6e+32, 2.5e+32

76, J0211+4235, crafts23, 0.3507309921413, 4, wyw+23, 1.11E-18, 13, wyw+23, 2.240, 5.02e+09, 1.0e+30, 2.0e+29
77, J0211-8159, lml+98, 1.0773327013, 8, dsb+98, 2.9E-16, 2, dsb+98, 1.523, 5.89e+07, 9.2e+30, 3.9e+30
78, J0212+5222, bck+13, 0.3763863640606, 15, lsk+18, 6.5993E-15, 13, lsk+18, 1.558, 9.04e+05, 4.9e+33, 2.0e+33
